Company Name,Deal Date,Deal Type,Deal Description,Deal Value,Counterparty,Source URL,Source Name,Status
Whirlpool of India,Feb 2024,Stake Sale,"Whirlpool Corp sold 24% stake in Indian unit via block deal, reducing holding from 75% to 51%. Goldman Sachs advised on the deal.","$468M (~INR 3,800 Cr)",SBI MF / Aditya Birla Sunlife MF / Societe Generale (Buyers),https://www.businesstoday.in/latest/corporate/story/whirlpool-to-offload-24-india-stake-via-block-deal-report-418113-2024-02-19,BusinessToday,Completed
Whirlpool of India,Jun 2025,Stake Sale (Process),"Reliance Retail and Havells entered race to acquire 31% controlling stake in Whirlpool India. Later Havells stepped back. EQT and Bain Capital emerged as top contenders, then also withdrew.","~$550-600M (Target net proceeds)",Reliance Retail / Havells / EQT / Bain Capital (Bidders),https://www.business-standard.com/companies/news/reliance-havells-whirlpool-india-majority-stake-sale-us-parent-company-125062000225_1.html,Business Standard,In Process (Bidders withdrew)
Whirlpool of India,Sep-Dec 2025,Stake Sale (Failed),"Advent International entered exclusive talks to buy 57% controlling stake (31% direct + 26% open offer) in Whirlpool India for ~$1 billion. Deal collapsed in Dec 2025 over pricing disagreements.","~$1B (~INR 8,500 Cr)",Advent International,https://www.business-standard.com/companies/news/advent-s-1-bn-deal-talks-for-whirlpool-india-collapse-due-to-disagreements-125120600442_1.html,Business Standard,Failed
Whirlpool of India,Nov 2025,Stake Sale,"Whirlpool Mauritius sold 11.23% stake (1.42 Cr shares) in Whirlpool India at INR 1,045/share via bulk deal.",INR 1489.60 Cr,HDFC MF / Kotak MF / Franklin Templeton MF / ICICI Prudential Life / Societe Generale / East Bridge Capital (Buyers),https://www.outlookbusiness.com/news/whirlpool-india-promoter-entity-sells-1123-stake-for-1489-cr,Outlook Business,Completed
Whirlpool of India,Nov 2025,Stake Sale (Planned),"Whirlpool parent planning to sell another 7.5% stake at ~14% discount via block deal to further reduce India holding towards 20% target.",Undisclosed,Market (Block deal),https://www.businesstoday.in/markets/stocks/story/whirlpool-block-deal-parent-entity-to-sell-75-stake-at-14-discount-says-report-503894-2025-11-27,BusinessToday,Planned
Voltas,Feb 2025,Divestiture,"Voltas completed transfer of its 92% direct investment in Saudi Ensas Company for Engineering Services to Universal MEP Projects, Singapore.",INR 61.84 Cr,Universal MEP Projects Singapore,https://www.voltas.in/file-uploads/financial-snapshot/Annual-reports/VoltasAnnualReport2024-2025.pdf,Voltas Annual Report 2024-25,Completed
Voltas,Oct 2024,Govt Incentive (PLI),"Voltas among 38 applicants in 3rd round of PLI scheme for white goods (ACs & LED lights) with proposed investment commitments.",Undisclosed,Govt of India (DPIIT),https://www.business-standard.com/industry/news/voltas-among-38-applicants-in-pli-scheme-s-3rd-round-for-white-goods-124101400733_1.html,Business Standard,Applied
Voltas,Ongoing,JV (Existing),"Voltas Beko - 50:50 JV with Arcelik (Turkey) via Ardutch B.V. for consumer durables (refrigerators, washing machines, kitchen appliances). Sanand facility with 1M unit capacity.",JV Formation,Arcelik / Ardutch B.V. (Koc Group),https://en.wikipedia.org/wiki/Voltas,Wikipedia,Active
Blue Star,Oct 2024,Govt Incentive (PLI),"Blue Star among 38 applicants in 3rd round of PLI scheme for white goods with committed investment proposals for AC manufacturing value chain.",Undisclosed,Govt of India (DPIIT),https://www.business-standard.com/industry/news/voltas-among-38-applicants-in-pli-scheme-s-3rd-round-for-white-goods-124101400733_1.html,Business Standard,Applied
Crompton Greaves Consumer,Feb 2022,M&A (Majority),"Crompton acquired 55% stake in Butterfly Gandhimathi Appliances at INR 1,403/share. Also acquired Butterfly trademarks for INR 30.38 Cr. Launched mandatory open offer for additional 26% at INR 1,434/share.","INR 2,076 Cr (81% stake total)",Butterfly Gandhimathi Appliances Promoters,https://www.businesstoday.in/latest/corporate/story/crompton-greaves-consumer-to-buy-majority-stake-in-butterfly-gandhimathi-appliances-323572-2022-02-23,BusinessToday,Completed
Crompton Greaves Consumer,Oct 2023,M&A (Merger - Rejected),"Proposed merger of Crompton and Butterfly (swap ratio: 22 Crompton shares for 5 Butterfly shares). Public shareholders voted 72.61% against. Non-institutional investors voted 97% against. Merger rejected.",N/A,Butterfly Gandhimathi Appliances (Minority Shareholders),https://www.businesstoday.in/markets/company-stock/story/shareholders-reject-butterfly-gandhimathi-appliances-crompton-greaves-merger-404049-2023-11-01,BusinessToday,Rejected
Bajaj Electricals,Sep 2023,Demerger,"Bajaj Electricals demerged its power T&D (transmission & distribution) business into Bajel Projects Limited. Effective date: Sep 14, 2023. Bajel valued at INR 12,600M (INR 1,260 Cr).",INR 1260 Cr (Bajel Projects entity value),Bajel Projects Ltd (Resulting Company),https://www.bajajelectricals.com/scheme-of-arrangements/,Bajaj Electricals Investor Relations,Completed
Bajaj Electricals,Ongoing,M&A (Distressed Asset),"Bajaj Electricals pursuing revival of manufacturing business of Hind Lamps Ltd (sick company since 2002 under BIFR). Structured as scheme of arrangement requiring NCLT approval. BEL holds 60% stake in Hind Lamps.",Undisclosed,Hind Lamps Ltd (NCLT),https://mnacritique.mergersindia.com/bajaj-electricals-hind-lamps-revival-demerger/,M&A Critique,In Process
V-Guard Industries,Jan 2023,M&A (100% Acquisition),"V-Guard completed acquisition of 100% stake in Sunflame Enterprises Private Limited (kitchen appliances) for all-cash consideration. Sunflame became a wholly-owned subsidiary.",INR 660 Cr,Sunflame Enterprises Pvt Ltd,https://www.business-standard.com/article/companies/v-guard-industries-to-acquire-sunflame-enterprises-for-rs-660-crore-122120900893_1.html,Business Standard,Completed
V-Guard Industries,2022-23,M&A (Minority to 100%),"V-Guard acquired remaining 26% stake in subsidiary Guts Electro-Mech Limited, making it a wholly-owned subsidiary.",Undisclosed,Guts Electro-Mech Ltd (Minority holders),https://www.indiainfoline.com/article/news-top-story/v-guard-industries-to-acquire-balance-stake-in-subsidiary-guts-electro-mech-stock-up--122072800393_1.html,India Infoline,Completed
V-Guard Industries,Nov 2023,PE/VC Investment (Made),"V-Guard made additional investment of INR 20.01 Cr in battery startup Gegadyne Energy Labs, increasing stake to 24.32% (fully diluted). Gegadyne became associate company.",INR 20.01 Cr (additional),Gegadyne Energy Labs,https://www.moneyworks4me.com/company/news/index/id/605717,MoneyWorks4Me,Completed
V-Guard Industries,2025,New Subsidiary,"V-Guard incorporated V-Guard Consumer Products Limited (VCPL) as a wholly owned subsidiary for consumer products business.",Undisclosed,V-Guard Consumer Products Ltd (New entity),https://tracxn.com/d/companies/v-guard/__sJ4z_VsVfLkdqMuxspzvUYt9PdQynLZeP-7mSpvXaJg,Tracxn,Completed
IFB Industries,Dec 2022-May 2023,Strategic Investment,"IFB Industries invested up to INR 97 Cr in equity of IFB Refrigeration Limited (IRL) acquiring ~41.40% stake. IRL operates refrigerator manufacturing facility at Ranjangaon Pune. Commercial production commenced May 2023.",INR 97 Cr,IFB Refrigeration Limited (Group company),https://www.equitybulls.com/category.php?id=324061,EquityBulls,Completed
IFB Industries,Nov 2024,Subsidiary Formation,"IFB's wholly-owned subsidiary GAAL (Global Automotive & Appliances Limited Singapore) established Schmid Automotive & Appliances GmbH in Switzerland for European design and tooling facility enhancing engineering capabilities.",Undisclosed,Schmid Automotive & Appliances GmbH (New WOS),https://scanx.trade/stock-market-news/stocks/ifb-industries-subsidiary-gaal-establishes-new-swiss-unit-schmid-automotive-appliances-gmbh/27096089,ScanX Trade,Completed
Havells India,Jan 2024,Block Deal,"Bulk deal on BSE involving 3,11,790 shares of Havells India traded at INR 1,305.60/share.",~INR 40.7 Cr,Undisclosed,https://trendlyne.com/equity/bulk-block-deals/HAVELLS/525/havells-india-ltd/,Trendlyne,Completed
Havells India,Jul 2024 / May 2025,Capex Investment,"Havells cable manufacturing capacity expansion at Alwar Rajasthan. Initial INR 375 Cr (Jul 2024) + additional INR 340 Cr (May 2025). Cable production capacity from 32.90 lakh km to 41.45 lakh km. Funded from internal accruals.",INR 715 Cr (total),Internal (Self-funded),https://www.wirecable.in/havells-india-announces-additional/,Wire & Cable India,In Progress
Havells India,Sep 2024,Capex Investment,"Havells greenfield cable manufacturing plant at Tumakuru Karnataka commissioned Sep 2024. Additional INR 450 Cr committed for expansion of higher-sized cable capacity from 3.48 lakh km to 4.62 lakh km.",INR 450 Cr,Internal (Self-funded),https://www.business-standard.com/markets/capital-market-news/havells-commences-cable-production-at-new-unit-in-karnataka-124090400462_1.html,Business Standard,Completed
Havells India,Sep 2024 / Apr 2025,JV-Partnership / Govt Incentive,"Havells received LOI for 50-acre land from YEIDA as anchor investor in 200-acre Electronics Manufacturing Cluster (EMC). JV with 5 other companies. Phase-1 investment ~INR 800 Cr. Production start by 2026. MeitY approved EMC Apr 25 2025.",INR 800 Cr (Phase-1),YEIDA / MeitY,https://cablecommunity.com/havells-receives-50-acre-land-in-yeidas-electronics-manufacturing-cluster/,CableCommunity.com,Approved
Havells India,Nov 2024,Capex Investment,"Havells approved setting up new refrigerator manufacturing plant at Ghiloth Rajasthan with 14 lakh unit production capacity. Expected operational by Q2 FY27. Funded from internal accruals.",INR 480 Cr,Internal (Self-funded),https://www.indiainfoline.com/news/business/havells-india-to-invest-480-crore-in-rajasthan-refrigerator-plant,India Infoline,In Progress
Havells India,Jan 2026,PE/VC Investment (Made),"Havells co-led USD 4M (~INR 36.6 Cr) funding round in wellness startup Dhun Wellness (founded by Mira Kapoor) alongside SRF Ltd. Proceeds for expansion to Pune Hyderabad Bengaluru Ahmedabad.",USD 4M (~INR 36.6 Cr) total round,Dhun Wellness / SRF Ltd,https://startupnews.fyi/2026/01/24/dhun-wellness-raises-4-mn-led-by-srf-and-havells-india/,StartupNews.fyi,Completed
Havells India,Jun 2025,Stake Sale (Bid - Withdrew),"Havells entered race to acquire 31% controlling stake in Whirlpool India but later stepped back due to valuation concerns and strategic focus on existing business.",N/A (Withdrew),Whirlpool of India,https://www.business-standard.com/companies/news/whirlpool-india-stake-sale-eqt-bain-capital-reliance-havells-125072300297_1.html,Business Standard,Withdrew
Havells India,Apr 2025,PE/VC Investment (Made),"Havells signed binding term sheet to invest INR 600 Cr in solar module manufacturer Goldi Solar for 8.9%-9.24% equity stake as part of Goldi's INR 1,300 Cr fundraise.",INR 600 Cr,Goldi Solar,https://www.mercomindia.com/havells-invests-%E2%82%B96-billion-in-module-manufacturer-goldi-solar,Mercom India,Completed
Havells India,Nov 2025,Strategic Investment,"Havells acquired 26% stake in Kundan Solar (Pali) Pvt Ltd SPV for development of 15 MW captive solar power plant in Rajasthan. All-cash deal executed in phases tied to project milestones.",INR 5.63 Cr,Kundan Green Energy Pvt Ltd,https://renewablewatch.in/2025/12/01/havells-india-acquires-26-per-cent-stake-in-kundan-solar-for-a-15-mwac-solar-project/,Renewable Watch,Completed
Havells India,Nov 2025,Contract/Settlement,"Havells settled trademark dispute with HPL Group, paying INR 129.60 Cr. HPL Group acknowledged Havells' absolute rights to the 'HAVELLS' trademark since 1971.",INR 129.60 Cr,HPL Group,https://tracxn.com/d/legal-entities/india/havells-india-limited/__Y9UgIgjdhfOYVvTqYwZEWwErm4M30HOOj6QH0_7eiqw,Tracxn,Completed
Havells India,Ongoing,Govt Incentive (PLI),"Havells among approved beneficiaries of PLI White Goods scheme for AC and LED manufacturing.",Undisclosed,Govt of India (DPIIT),https://www.india-briefing.com/news/india-pli-white-goods-manufacturing-investment-strategy-39803.html/,India Briefing,Active
Symphony,Feb-May 2023,Buyback,"Symphony Board approved buyback of 10,00,000 equity shares at INR 2,000/share via tender offer aggregating up to INR 200 Cr. Record date: Mar 29, 2023. Tender period: May 3-17, 2023. Acceptance ratio ~9% for retail. Promoters participated.",INR 200 Cr,Existing Shareholders,https://www.business-standard.com/article/news-cm/board-of-symphony-approves-buyback-of-shares-up-to-rs-200-cr-123020800915_1.html,Business Standard,Completed
Symphony,Aug-Sep 2024,Buyback,"Symphony Limited announced INR 71.40 Cr buyback covering 0.41% equity shares via tender offer. Open date: Aug 27, 2024. Close date: Sep 2, 2024.",INR 71.40 Cr,Public Shareholders,https://www.chittorgarh.com/buyback/symphony-limited-buyback-2024/182/,Chittorgarh.com,Completed
Symphony,Aug 2024,Subsidiary Formation,"Symphony's Chinese subsidiary GSK incorporated Dongguan GSK Appliances as new WOS in China. Authorized capital USD 70,100. Will engage in import/export and sales of consumer durables (air coolers, water heaters, tower fans, washing machines).",USD 70100 (authorized capital),Dongguan GSK Appliances (New WOS),https://www.business-standard.com/markets/capital-market-news/symphony-arm-incorporates-wos-in-china-124082600536_1.html,Business Standard,Completed
Symphony,Apr 2025,Divestiture (Shelved),"Board approved exploring divestment of stakes in Climate Technologies Australia (revenue INR 185 Cr FY24 negative EBITDA INR 23 Cr) and IMPCO Mexico (revenue INR 178 Cr FY24 EBITDA INR 27 Cr). Rationale: high capital intensity diluting ROCE. Attracted interest but no buyer met valuation expectations. Plans shelved.",Undisclosed (process shelved),Multiple potential buyers (undisclosed),https://www.tipranks.com/news/company-announcements/symphony-limited-to-divest-stakes-in-australian-and-mexican-subsidiaries,TipRanks,Shelved
Symphony,Apr 2025,Intra-group IPR Sale,"Symphony's Chinese subsidiary GSK sold technology know-how and 9 IPRs to IMPCO Mexico subsidiary for USD 5.1M. GSK to deploy proceeds to repay loan to Symphony India potentially becoming debt-free. GSK retains substantial IPR portfolio for core markets.",USD 5.1M (~INR 43.5 Cr),IMPCO S de R.I. de C.V. (Intra-group),https://www.tipranks.com/news/company-announcements/symphony-limiteds-subsidiary-sells-technology-to-impco-aiming-for-debt-free-status,TipRanks,Completed
Symphony,Jul 2025,Divestiture (Expanded Scope - Shelved),"Board expanded April 2025 divestment plan to include Symphony AU Pty Ltd (SAPL) the Australian SPV holding 100% of Climate Technologies. Broadened divestiture scope to full Australian operations. Later shelved after offers fell short of valuation expectations.",Undisclosed (process shelved),Multiple potential buyers (undisclosed),https://scanx.trade/stock-market-news/corporate-actions/symphony-limited-expands-divestment-plan-to-include-australian-subsidiary-sapl/14970233,ScanX Trade,Shelved
Orient Electric,Oct 2024,Related Group Sale,"CK Birla Group (Orient Electric's parent group) sold 46.8% stake in Orient Cement to Ambuja Cements (Adani Group) for INR 8,100 Cr. Capital being reallocated to consumer-centric businesses including Orient Electric.","INR 8,100 Cr (Group level - Orient Cement)",Ambuja Cements (Adani Group),https://www.business-standard.com/companies/news/adani-backed-ambuja-to-acquire-46-8-stake-in-orient-cement-for-rs-8-100-cr-124102200224_1.html,Business Standard,Completed
Dixon Technologies,Aug 2024,M&A (Majority - 50.1%),"Dixon acquired 50.1% stake in Ismartu India (manufacturer for Transsion brands: Itel, Infinix, Tecno). CCI approved Jul 18, 2024. Deal in two tranches - Tranche 2 (1.7%-5.9%) to be acquired in 2026-27 based on FY26 PAT.",INR 275 Cr (Tranche 1: INR 238 Cr),Ismartu India / Ismartu In Pte / Transsion Technology,https://in.marketscreener.com/quote/stock/DIXON-TECHNOLOGIES-INDIA--111615221/news/Dixon-Technologies-Limited-acquired-50-1-stake-in-Ismartu-India-Private-Limited-from-Ismartu-In-Pte-47639436/,MarketScreener,Completed
Dixon Technologies,Dec 2024,JV (51:49),"Dixon and Vivo India signed binding term sheet for proposed JV for OEM manufacturing of electronic devices including smartphones. Dixon holds 51% stake.",Undisclosed,Vivo India,https://www.business-standard.com/markets/news/dixon-vivo-form-jv-to-make-smartphones-in-india-shares-scale-record-high-124121600169_1.html,Business Standard,Announced (Pending regulatory approval)
Dixon Technologies,Apr 2025,JV,"Dixon and Signify Innovations signed binding term sheet for proposed JV focused on OEM business of lighting products and accessories in India.",Undisclosed,Signify Innovations (Philips Lighting),https://www.digitimes.com/news/a20250331VL200/dixon-ems-lighting-joint-venture-manufacturing.html,Digitimes,Announced
Dixon Technologies,Jul 2025,M&A (Majority - 51%),"Dixon signed binding term sheet to acquire 51% stake in Q Tech India for manufacturing camera modules and fingerprint modules for mobile, IoT, and automotive applications.",Undisclosed,Q Tech India,https://www.business-standard.com/markets/capital-market-news/dixon-tech-climbs-on-signing-two-strategic-deals-to-boost-electronics-manufacturing-125071600799_1.html,Business Standard,Announced (Pending regulatory approval)
Dixon Technologies,Ongoing,Govt Incentive (PLI),"Dixon is a major beneficiary of PLI scheme for mobile phones and IT hardware. PLI allocation reduced to INR 1,527 Cr from INR 9,000 Cr. Uncertainty about mobile PLI extension post FY26.",INR 1527 Cr (Incentive allocation),Govt of India (MeitY),https://scanx.trade/stock-market-news/stocks/dixon-technologies-pli-allocation-reduced-to-rs-1-527-crore-from-rs-9-000-crore-for-mobile-and-it-hardware/31476038,ScanX Trade,Active
Dixon Technologies,Planned,Capex Investment,"Dixon planning $2.7-3 billion display fabrication facility (8.6G) in Noida in collaboration with China's HKC. Monthly capacity: 60,000 substrates. Fuelled by India Semiconductor Mission incentives.","$2.7-3B (~INR 23,000-25,500 Cr)",HKC (China) / India Semiconductor Mission,https://techovedas.com/3-billion-investment-dixon-technologies-plans-display-fabrication-facility-in-india/,Techovedas,Planned
Dixon Technologies,Ongoing,Corporate Guarantee,"Dixon Technologies issued $50 million corporate guarantee to wholly-owned subsidiary Padget Electronics for smartphone manufacturing operations.",USD 50M (~INR 425 Cr),Padget Electronics (Subsidiary),https://scanx.trade/stock-market-news/corporate-actions/dixon-technologies-issues-50-million-corporate-guarantee-to-subsidiary-padget-electronics/18590190,ScanX Trade,Active
Amber Enterprises,2024,Fund Raise (QIP),"Amber Enterprises raised ~INR 1,000 Cr via Qualified Institutional Placement. Allocated 12,57,861 equity shares at INR 7,950/share to qualified institutional buyers.","INR ~1,000 Cr (~USD 118M)",Institutional Investors (QIBs),https://law.asia/amber-enterprises-qip-deal/,Law.asia,Completed
Amber Enterprises,Sep 2025,Fund Raise (QIP - Round 2),"Board committee approved launch of second QIP of equity shares to raise up to INR 2,500 Cr with floor price of INR 7,790.88/share.","INR 2,500 Cr (Target)",Institutional Investors (QIBs),https://www.icicidirect.com/research/equity/trending-news/amber-enterprises-opens-2-500-cr-qip-for-equity-shares,ICICI Direct,Announced
Amber Enterprises,Sep 2025,PE/VC Investment (Subsidiary),"Amber raised INR 1,200 Cr from PE investors for subsidiary ILJIN Electronics via equity shares and CCPS. Investors include ChrysCapital Fund, Two Infinity Partners, Raptor Investments, InCred Growth Partners.","INR 1,200 Cr",ChrysCapital / Two Infinity Partners / Raptor Investments / InCred Growth Partners,https://www.business-standard.com/markets/news/amber-enterprises-raises-1200-crore-iljin-electronics-125090700515_1.html,Business Standard,Completed
Amber Enterprises,Jun 2025,M&A (60% Stake),"ILJIN Electronics acquired 60% stake in Power-One Micro Systems (BESS, solar inverters, EV chargers, UPS). Transaction concluded Aug 5, 2025.",INR 262 Cr,Power-One Micro Systems Pvt Ltd,https://www.angelone.in/news/market-updates/amber-enterprises-subsidiary-il-jin-acquires-60-stake-in-power-one-for-262-crore,Angel One,Completed
Amber Enterprises,Jul 2025,M&A (Controlling Stake ~40%),"ILJIN Electronics acquired ~40.24% controlling stake in Israel-based Unitronics (1989) Ltd. Purchased 56.24 lakh shares at NIS 27.75/share. Together with Unitronics Joint Chairman Haim Shani, ILJIN holds ~45.13%.",INR 403.78 Cr (~NIS 156M),Unitronics (1989) Ltd (Israel),https://www.business-standard.com/markets/capital-market-news/amber-enterprises-gains-as-arm-il-jin-acquires-controlling-stake-in-israel-s-unitronics-125072800206_1.html,Business Standard,Completed
Amber Enterprises,Nov 2025,M&A (Majority Stake),"ILJIN Electronics entered definitive agreements to acquire majority stake in Shogini Technoarts, one of India's top 5 PCB manufacturers (Pune-based, est. 1982). Revenue: INR 390.74 Cr in FY25.",Undisclosed (Mutually agreed value),Shogini Technoarts Pvt Ltd,https://www.businesstoday.in/markets/stocks/story/amber-group-to-acquire-majority-stake-in-shogini-technoarts-key-details-502327-2025-11-15,BusinessToday,Announced
Amber Enterprises,Feb 2026,M&A (Subsidiary Control),"ILJIN gained control of Stelltek; the joint venture became a subsidiary with Stelltek becoming an ILJIN/Amber step-down subsidiary.",Undisclosed,Stelltek,https://tracxn.com/d/companies/amber-enterprises-india/__WbeR63g9q9NpMMz3xZQy2OEj46liHpiGyEJnCuOLLPQ,Tracxn,Completed
TTK Prestige,Aug 2024,Buyback,"TTK Prestige board approved share buyback of 16,66,666 equity shares (1.2% equity) at INR 1,200/share via tender offer. 25% premium over market price. Acceptance ratio ~11% for retail investors. Record date: Aug 14, 2024. Tender period: Aug 21-27, 2024.",INR 200 Cr,Public Shareholders,https://www.chittorgarh.com/buyback/ttk-prestige-buyback-2024/178/,Chittorgarh.com / BSE Filing,Completed
TTK Prestige,Jun 2024,PE/VC Investment (Made),"TTK Prestige invested in GramyaHaat Rural Tech Pvt Ltd (rural distribution startup) via Compulsorily Convertible Debentures (CCDs). Initial tranche INR 5 Cr with total commitment up to INR 15 Cr. Will result in >5% equity stake on conversion. No controlling stake.",INR 15 Cr (total commitment),GramyaHaat Rural Tech Pvt Ltd,https://www.business-standard.com/markets/capital-market-news/ttk-prestige-to-invest-up-to-rs-15-cr-in-gramyahaat-124061200622_1.html,Business Standard,Completed
TTK Prestige,Feb 2025,Capex Investment,"Board approved INR 500 Cr capital allocation over 3 FYs starting Q4 FY25. INR 300 Cr for capex (stainless steel tri-ply capacities, appliances, plant modernization/automation) and INR 200 Cr for operational investments (innovation, design, manufacturing, go-to-market, logistics, service). Funded from internal accruals.",INR 500 Cr (over 3 years),N/A (Internal investment),https://www.business-standard.com/markets/capital-market-news/ttk-prestige-gains-after-board-oks-rs-500-cr-capex-plan-125021900232_1.html,Business Standard,Announced
TTK Prestige,Dec 2025,Stake Sale (Promoter Transmission),"Following death of Chairman Emeritus T T Jagannathan (Oct 9, 2025), shares transmitted to legal heirs. Mukund T T acquired 20.8L shares (1.52%), Tiruvallur T Lakshman acquired 10.8L shares (0.79%). Aggregate promoter holding unchanged at ~70.52%.",Undisclosed (transmission),TTK Promoter Family (Legal heirs),https://filingreader.com/news-wire/mumbai/2025-12-31/ttk-prestige-promoter-group-member-acquires-significant-stake,Filing Reader / BSE Filing,Completed
TTK Prestige,2022,M&A (49% Stake),"TTK Prestige completed acquisition of 49% stake in modular kitchen maker Ultrafresh.",~INR 200M (~INR 20 Cr),Ultrafresh,https://www.marketscreener.com/quote/stock/TTK-PRESTIGE-LIMITED-6493328/news/TTK-Prestige-Completes-Acquisition-of-49-Stake-in-Modular-Kitchen-Maker-Ultrafresh-37808190/,MarketScreener,Completed
Crompton Greaves Consumer,Jul 2025,Fund Raise (NCD Redemption),"Crompton fully repaid final tranche of NCDs (INR 300 Cr principal, INR 323 Cr incl. interest) originally issued to fund 2022 Butterfly acquisition. Total NCD debt of INR 2,125 Cr across 5 tranches fully retired. Crompton becomes zero-debt and net cash positive.","INR 2,125 Cr (Total NCD debt retired)",NCD Holders / Lenders,https://www.business-standard.com/markets/capital-market-news/crompton-greaves-consumer-transitions-to-zero-debt-and-net-cash-positive-status-125072300467_1.html,Business Standard,Completed
Butterfly Gandhimathi,Oct 2023,M&A (Merger Rejected),"Butterfly shareholders voted 72.61% against proposed merger with Crompton Greaves (swap ratio: 22 Crompton shares for 5 Butterfly shares). Non-institutional investors 97% against. Companies continue operating independently.",N/A,Crompton Greaves Consumer Electricals,https://www.businesstoday.in/markets/company-stock/story/shareholders-reject-butterfly-gandhimathi-appliances-crompton-greaves-merger-404049-2023-11-01,BusinessToday,Rejected
Johnson Controls-Hitachi AC India (JCHAC),Jul 2024,M&A (Global - Parent Level),"Johnson Controls announced sale of residential & light commercial HVAC business (incl. 60% JV with Hitachi) to Bosch for $8.1B total ($6.7B JC's portion). Includes 100% of JCHAC JV.","$8.1B (Global) / ~$6.7B (JC portion)",Robert Bosch GmbH,https://www.johnsoncontrols.com/media-center/news/press-releases/2024/07/23/johnson-controls-to-sell-residential-and-light-commercial-hvac-businesses,Johnson Controls,Completed (Aug 2025)
Johnson Controls-Hitachi AC India (JCHAC),Aug 2025,M&A (Ownership Transfer),"Bosch completed acquisition of JCHAC. Bosch now holds 74.25% controlling stake in the Indian entity. Open offer planned for remaining 25.75% minority shares.",Undisclosed (India portion),Robert Bosch GmbH,https://www.entrepreneur.com/en-in/news-and-trends/bosch-takes-majority-control-of-johnson-controls-hitachi/495465,Entrepreneur India,Completed
Johnson Controls-Hitachi AC India (JCHAC),Nov 2025,M&A (Mandatory Open Offer),"Bosch made SEBI mandatory open offer for 25.75% minority stake (70,00,355 shares) at INR 1,762.54/share. Tendering period: Nov 13-26, 2025. 21,66,628 shares tendered (~31% acceptance). Consideration paid Dec 9, 2025. Bosch post-offer holding: ~82.22%.","INR ~382 Cr (actual paid) / INR ~1,234 Cr (max offer)",Robert Bosch GmbH / Bosch Global Software Technologies / Minority Shareholders,https://www.sebi.gov.in/sebi_data/commondocs/jul-2024/Johnson%20Controls-Hitachi%20Air%20Conditioning%20India%20Limited_PA_p.pdf,SEBI Filing,Completed
Johnson Controls-Hitachi AC India (JCHAC),Nov 2021 (ongoing),Govt Incentive (PLI),"JCHAC was one of 42 applicants provisionally selected as beneficiary under PLI Scheme for White Goods (AC category) in Round 1. Incentives of 4-6% on incremental sales from domestic manufacturing over 5 years.",Undisclosed (company-specific),Govt of India (DPIIT),https://pib.gov.in/PressReleasePage.aspx?PRID=1769229,PIB (Press Information Bureau),Active
Johnson Controls-Hitachi AC India (JCHAC),Dec 2025,Rebranding/Name Change,"Company renamed from Johnson Controls-Hitachi Air Conditioning India Ltd to Bosch Home Comfort India Ltd (BOSCH-HCIL). Stock symbol changed from JCHAC to BOSCH-HCIL.",N/A,N/A,https://www.prysm.fi/news/jchac-to-become-bosch-hcil-with-name-change-effective-dec-24-2025,Prysm.fi,Completed
PLI Scheme - White Goods (Multiple Companies),2021-2025,Govt Incentive (PLI),"PLI scheme for white goods (ACs & LED lights) with INR 6,238 Cr outlay. 83 approved applicants by Oct 2025 with total investments of INR 10,400 Cr. Key tracked companies: Voltas, Havells, Dixon, Amber, Blue Star among applicants/beneficiaries. 4th round launched Sep 2025 attracted 13 new applications with INR 1,914 Cr committed investment.","INR 6,238 Cr (Scheme outlay)",Govt of India / DPIIT / Multiple Companies,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155082,PIB (Press Information Bureau),Active
